V202288,V201507x,V202073
-1,62,2
-5,75,2
-1,35,1
-1,47,1
-1,52,2
3,61,1
-5,27,1
2,43,2
-1,29,1
2,73,2
-1,54,2
-1,50,2
-1,56,1
-6,76,-6
-1,-9,2
-1,40,2
-1,68,1
1,63,2
-1,64,2
-6,59,-6
-1,25,-1
-1,29,-1
2,68,1
-6,36,-6
-1,56,1
-1,80,-1
1,-9,2
3,24,1
-1,32,1
-1,-9,-1
-1,-9,-1
2,26,1
1,64,-1
1,80,1
1,59,2
-1,79,1
-5,39,-1
1,80,1
-1,23,1
-1,65,1
-1,62,1
2,63,-1
-6,-9,-6
2,28,1
-6,62,-6
-1,80,1
-1,65,2
-1,38,1
-1,41,2
-1,33,-1
-1,64,-1
2,46,2
1,80,2
-1,61,-1
-1,80,1
-1,31,-1
-1,23,1
-1,63,1
-1,47,1
-1,69,1
-1,48,-1
2,66,2
1,58,2
-6,51,-6
-1,68,1
-1,56,2
-1,73,2
-1,46,-1
-1,59,2
2,66,2
1,20,1
-6,27,-6
2,-9,2
2,60,1
-1,78,1
-1,52,2
-7,-9,-7
-1,72,1
-1,29,-1
2,45,2
-1,74,-1
2,63,-1
-1,47,1
-1,65,1
2,71,2
2,37,-1
-1,20,2
-1,80,-1
-1,47,2
2,68,2
-1,44,2
2,59,-1
-1,70,1
-1,73,1
-1,26,2
-1,25,-1
-1,22,1
-1,71,1
-1,41,2
-1,20,1
-1,76,1
-6,60,-6
1,33,2
-1,38,1
-1,20,-1
2,76,1
-1,22,-1
-6,64,-6
-6,21,-6
2,80,1
-1,37,1
-6,69,-6
-1,47,2
-1,59,1
3,77,1
-6,58,-6
2,50,1
-1,35,-1
1,52,2
-1,56,1
-1,62,2
-1,49,-1
-1,27,1
-1,51,2
-1,31,-1
1,34,1
-6,29,-6
1,40,-1
-1,50,1
-6,29,-6
-6,73,-6
-1,42,-1
-1,37,1
-7,80,-7
-1,61,2
-1,50,1
2,62,-1
-1,64,2
-1,40,2
-1,29,1
-1,-9,2
-1,69,1
-1,63,1
-6,80,-6
-1,69,2
3,-9,2
-1,26,1
-1,59,1
-1,-9,-9
-1,65,2
-6,39,-6
-1,73,2
-1,51,1
-1,51,3
-1,64,1
-1,46,1
-1,-9,1
-6,49,-6
-6,46,-6
-1,31,1
2,62,2
-1,46,1
-1,41,-1
-1,63,1
-1,-9,1
-6,55,-6
-1,34,1
3,72,1
2,68,1
-1,55,2
-1,35,1
-1,60,-1
-1,64,1
-6,21,-6
-1,46,1
-1,25,1
-6,75,-6
-1,50,5
-1,41,-1
-1,33,1
2,70,1
2,36,2
-1,20,1
1,53,-1
-1,33,1
3,24,2
2,49,2
-1,41,1
-1,71,2
-1,80,2
-1,26,1
-1,80,1
-6,40,-6
-6,80,-6
-6,49,-6
1,36,1
-1,57,1
-1,29,-1
-6,34,-6
-1,63,2
-1,18,-1
-6,41,-6
1,-9,-1
1,30,2
-1,36,-1
-1,-9,2
-6,28,-6
2,54,-1
2,37,2
-1,78,-1
3,38,2
-1,28,1
-1,41,1
1,57,2
2,-9,2
-1,36,2
2,76,-1
-1,33,-1
1,51,2
-1,59,1
-1,69,1
-1,64,1
1,67,-1
2,77,2
1,34,3
-1,57,1
-1,72,1
1,42,2
-6,26,-6
2,69,2
-1,46,1
-1,36,1
-1,69,1
-1,50,2
-1,49,1
-1,50,2
-1,46,2
-6,24,-6
-1,71,1
1,76,1
-1,25,-1
-1,28,-1
-1,37,-1
1,70,1
-1,45,-1
-1,62,2
-1,46,1
-1,65,2
-1,65,1
-1,44,1
-1,28,1
-6,31,-6
-1,30,1
-1,80,2
-1,41,-1
-1,58,1
-1,29,2
1,78,2
-1,50,1
-1,35,-1
3,75,1
-1,60,1
-1,45,1
2,74,1
1,44,2
3,35,5
-1,66,2
-1,25,1
-1,35,2
-5,19,-1
-1,-9,1
-1,75,-1
3,80,2
-1,37,2
-6,36,-6
1,63,2
-1,-9,1
-1,28,1
-6,-9,-6
-1,71,1
-6,62,-6
1,59,-1
-1,49,2
3,61,2
-1,30,1
3,75,-1
1,68,-1
-1,48,1
-1,27,1
-1,72,1
-1,36,1
-6,29,-6
-1,72,1
-1,-9,5
-1,-9,1
1,24,1
-1,44,2
-1,27,-1
2,50,2
-1,54,2
-1,30,2
-6,34,-6
2,-9,-1
-6,48,-6
-1,74,-1
2,50,1
-1,56,2
-1,78,2
1,45,1
-1,40,-1
-1,41,1
-1,36,1
1,77,1
-1,50,-1
-1,48,-1
2,68,1
-1,50,2
-1,18,1
-1,67,1
-1,39,1
-1,52,-1
1,73,1
1,67,2
2,65,1
-1,30,1
1,71,2
-1,55,-1
-1,46,4
-1,24,1
-1,34,3
-1,65,1
1,80,2
-6,52,-6
-6,23,-6
-1,50,2
2,45,1
3,65,2
-1,37,1
-6,29,-6
2,79,1
2,67,1
-6,-9,-6
-6,50,-6
-1,-9,2
-1,71,1
-1,37,-1
-1,38,1
-1,44,2
-1,37,2
1,50,2
-1,45,5
-6,41,-6
-1,-9,-1
-1,73,1
-1,23,1
2,59,-1
-1,-9,2
-6,39,-6
-1,67,2
-1,46,-1
-1,67,1
-1,54,-1
-1,59,-9
-1,80,1
1,26,1
-1,18,1
-6,62,-6
-1,37,1
-1,32,1
2,54,2
-7,34,-7
1,60,-1
-1,74,2
-1,34,5
1,62,2
-1,36,2
-1,44,1
-1,57,1
-1,74,-1
-1,44,-1
-1,45,-1
-1,30,-1
-1,24,-1
-1,63,2
-1,66,2
2,54,2
-1,75,1
-1,31,1
-5,58,1
-1,45,2
-1,74,1
-1,29,1
-1,32,1
-1,35,1
-1,63,1
-6,32,-6
-6,35,-6
-1,68,1
-1,31,2
-1,50,1
2,77,2
-1,41,1
-1,37,1
-1,50,1
-1,40,-1
-1,35,1
-1,25,2
-1,30,5
-6,65,-6
1,68,1
-6,53,-6
-1,78,1
2,40,1
1,47,2
-6,44,-6
-1,66,2
2,76,1
-6,67,-6
-1,-9,5
-1,68,1
-1,76,1
-1,64,-9
-1,29,1
1,44,1
2,36,2
1,52,2
-5,33,1
-1,51,2
2,25,1
-1,66,2
-6,38,-6
2,42,2
-1,65,2
2,55,-1
-1,20,1
2,75,2
-1,26,-1
-1,36,2
-1,34,-1
1,39,1
-1,21,-1
-1,38,1
-6,34,-6
-1,67,1
-1,63,-1
-1,41,1
-6,75,-6
-1,68,1
1,73,1
-1,20,1
-1,31,1
-1,34,1
1,32,2
-1,50,1
-1,-9,1
-1,33,2
-1,65,2
1,71,2
-1,34,1
-1,54,-1
-1,66,-1
-1,44,1
-6,52,-6
-6,70,-6
-1,34,2
-1,43,2
-1,36,-1
-1,58,1
1,-9,2
-1,75,1
1,53,2
2,65,1
-1,52,1
-1,35,1
-1,63,-1
3,28,-9
-1,33,-1
-1,57,2
-6,65,-6
-1,65,2
2,48,1
-1,25,1
-1,64,2
1,80,1
1,49,-1
-1,67,1
-1,59,1
2,39,2
-1,61,-1
1,40,-1
2,52,1
-1,46,1
-1,51,2
-1,-9,1
1,63,2
-1,31,-1
1,80,2
2,80,2
-1,51,1
2,59,-1
-1,55,1
-6,29,-6
-1,20,-1
-1,80,2
2,47,-1
-1,28,1
2,48,2
2,63,1
-1,33,-1
-1,55,1
-1,29,1
-1,51,-1
2,38,1
-6,-9,-6
1,80,2
3,34,1
-1,43,-1
1,41,1
-1,51,2
2,58,2
-6,35,-6
-1,55,2
-1,35,1
-1,38,1
1,39,1
-1,39,2
1,60,-1
1,56,2
-6,60,-6
-1,-9,1
-1,32,1
-1,24,1
1,42,-1
2,72,1
-1,35,1
2,-9,2
-1,30,1
-1,60,2
1,71,1
-1,63,1
-1,33,2
1,27,2
-1,44,2
-1,62,1
1,80,2
-1,63,1
1,43,2
-6,78,-6
-6,73,-6
-1,18,1
-1,31,1
-1,19,-1
2,70,2
-1,35,1
-1,74,-1
1,37,-1
-1,37,-1
-1,73,1
-1,57,-1
-1,21,1
-1,29,3
-1,52,2
-1,33,2
-1,40,4
-1,80,1
-1,30,1
-1,29,1
-1,40,2
-1,74,1
-1,25,-1
2,64,-1
-1,50,1
1,48,1
-1,25,-1
1,80,3
-6,60,-6
-1,72,1
-1,69,1
-1,19,12
-1,80,1
1,49,1
2,54,2
-1,46,1
-1,80,1
-1,29,2
2,27,-1
-1,23,-1
1,-9,2
2,-9,-1
2,77,2
1,68,-1
2,77,2
1,80,-1
-1,68,2
-1,73,1
-1,36,1
-1,26,2
3,46,-9
-1,55,-1
-1,35,2
-1,41,4
-1,26,1
-1,-9,1
-6,65,-6
-6,80,-6
-1,59,4
-1,58,1
-1,45,2
-1,-9,1
1,53,1
3,-9,1
-1,41,1
-1,34,1
2,36,1
1,-9,1
3,69,2
-1,29,1
3,30,1
-1,66,3
-1,75,1
-1,69,1
2,73,2
2,52,1
2,32,2
1,76,2
-1,55,2
-6,80,-6
3,28,2
-1,49,1
-1,52,2
-1,68,1
2,19,1
-1,80,-1
-1,51,1
2,77,2
-6,64,-6
-1,65,2
-1,33,2
-1,30,1
2,38,2
-1,66,1
2,20,2
1,80,2
1,72,2
-1,67,1
1,48,2
-1,21,1
-1,78,2
-1,34,3
-1,80,-1
-6,34,-6
1,41,2
-1,73,1
1,38,1
2,69,2
2,76,2
-1,53,2
-1,49,2
-6,40,-6
-1,80,1
-1,28,-1
1,57,2
-1,71,1
-1,38,1
-6,79,-6
-1,36,1
-6,21,-6
-1,42,1
-1,61,2
-1,53,1
-1,-9,2
1,79,1
-1,63,2
1,37,1
-6,64,-6
-1,63,-1
-1,56,1
-6,40,-6
-1,56,2
-1,77,1
-1,26,2
1,80,2
-6,43,-6
-6,28,-6
1,33,1
2,67,2
2,61,1
-1,48,1
-6,62,-6
-1,55,1
-7,67,-7
-1,36,-1
3,78,-1
-1,36,1
-1,64,1
3,45,2
-1,38,-1
-1,24,-1
-1,65,2
-6,-9,-6
-1,37,1
2,58,2
-1,62,1
-1,44,1
-1,54,-1
-1,42,5
-1,37,-1
-1,-9,-1
3,32,1
2,67,2
-1,19,1
3,33,3
-6,63,-6
1,55,2
-1,-9,2
-6,80,-6
-1,27,2
-1,38,-1
-1,46,-1
2,48,-9
-6,60,-6
-1,37,-1
-1,49,1
2,80,1
-7,39,-7
-1,27,4
-1,61,2
-1,37,-1
-1,69,2
-1,19,1
-1,55,1
-1,72,1
-1,20,1
-1,65,2
3,69,1
1,79,1
-1,27,1
-1,53,1
1,35,-1
1,59,1
-1,47,1
-1,39,1
-1,64,-1
1,76,2
-1,61,-1
-1,70,2
-1,80,-9
-1,67,2
-1,24,2
-6,51,-6
1,34,2
1,43,1
1,51,1
-1,63,-9
-6,37,-6
1,75,1
-1,71,2
-6,27,-6
1,80,1
-1,52,1
-1,68,1
-1,19,1
-1,57,1
-1,58,1
-1,40,2
-1,30,2
-1,59,2
-1,71,1
-1,73,2
-1,-9,1
-6,73,-6
-1,68,1
1,47,2
2,63,-1
3,48,3
1,59,-1
-1,35,-1
2,73,1
-1,56,2
-1,70,1
-1,80,1
-1,34,-1
2,72,1
2,59,1
-1,61,1
-1,69,1
-6,-9,-6
-1,74,1
-6,50,-6
1,31,1
-6,62,-6
-7,60,-7
-6,63,-6
1,56,1
-1,32,-1
-1,65,1
2,59,2
-1,77,1
1,69,2
2,26,2
-1,-9,2
2,38,1
-1,30,1
-1,60,1
-1,36,1
1,68,-9
-1,26,2
1,80,2
-1,32,1
-1,-9,-1
-6,80,-6
1,31,1
-1,37,-1
-1,26,-1
2,20,-1
1,72,2
2,65,2
-1,47,2
1,18,-1
-1,27,3
-1,48,1
-7,74,-7
-1,69,2
1,52,1
-7,63,-7
-1,58,1
-1,55,2
-1,80,1
-1,46,1
1,77,2
2,-9,-1
3,56,2
-1,42,1
2,63,2
1,24,2
-1,42,2
-1,67,1
-1,78,1
-1,65,-1
-1,25,1
-1,24,1
1,40,2
1,60,-1
2,48,-1
-1,32,-1
-1,49,2
-1,71,1
-6,72,-6
-1,80,5
2,-9,2
-1,70,1
3,33,1
-1,34,-1
3,80,1
-6,54,-6
1,53,2
-1,59,1
3,38,2
-1,27,1
-1,51,2
-6,53,-6
-1,31,1
-1,31,2
-1,75,2
-1,72,1
-1,34,1
-6,40,-6
-1,64,2
1,21,-1
-1,-9,2
1,53,1
2,61,1
1,80,2
-1,65,1
-7,25,-7
-1,64,1
-1,-9,1
-1,70,1
2,58,2
-1,67,1
-6,58,-6
-1,65,1
-6,76,-6
-1,32,2
-1,45,2
1,52,2
-1,34,-1
-6,21,-6
-1,59,2
1,57,2
-1,80,2
2,68,-1
1,76,2
-6,80,-6
-1,62,1
-1,75,1
-1,26,2
-1,62,2
-1,36,1
-1,40,2
-1,42,1
3,52,2
-1,63,1
2,40,2
1,69,2
-6,29,-6
1,68,2
-6,-9,-6
1,72,2
-6,40,-6
2,69,1
-1,62,1
-1,56,1
-1,70,2
-1,46,1
-1,63,1
-1,33,2
1,30,1
-1,36,1
2,48,1
-1,31,2
-1,65,2
-6,57,-6
-1,58,2
1,31,2
-6,46,-6
-1,77,1
-1,73,2
-1,20,1
-1,30,-1
-6,80,-6
-1,63,1
-1,59,1
-1,66,1
-6,80,-6
-1,37,1
-1,50,-1
-1,27,-1
-1,23,1
-1,30,1
-1,32,1
-1,65,1
3,45,2
-1,60,-9
-6,21,-6
2,68,1
-1,40,2
-7,49,-7
-1,20,1
1,51,2
-1,42,1
-1,56,1
1,21,2
2,35,2
1,32,-1
-1,41,1
-6,20,-6
-1,67,1
2,19,2
2,23,1
2,50,5
-1,34,1
-1,35,1
1,42,2
-1,-9,2
3,28,5
-1,33,1
-6,75,-6
-1,41,1
-1,61,1
-1,32,1
-6,42,-6
3,34,-1
-6,49,-6
-6,64,-6
-1,38,1
-6,65,-6
-1,36,1
2,66,1
1,71,2
-1,32,1
1,65,2
-1,54,2
1,51,-1
-1,38,1
-1,-9,1
2,44,-1
2,60,1
-1,46,1
-1,72,1
-1,22,1
-1,69,2
-1,74,1
-1,73,1
2,77,1
-1,73,1
-1,51,1
-1,59,2
-1,70,-1
-1,53,2
2,75,1
1,50,2
-1,80,1
-6,43,-6
-1,80,1
-1,80,1
-1,34,1
-1,67,1
-1,57,1
-6,64,-6
-1,51,1
-1,56,2
2,42,2
-1,-9,1
1,74,-1
1,66,1
-1,44,2
-6,27,-6
2,25,1
2,51,2
-1,52,2
1,73,3
-1,35,1
-1,43,1
-1,45,1
-1,-9,1
-1,27,1
-6,27,-6
-1,37,-1
1,52,2
2,73,2
1,40,2
-1,71,1
-1,-9,2
-1,30,1
-1,26,1
-1,29,1
-6,51,-6
1,57,2
-1,52,-1
3,75,-1
-1,25,1
-1,-9,2
-1,48,1
1,30,-1
-6,25,-6
3,39,1
-1,21,1
-1,32,-1
-1,30,1
-6,52,-6
-1,65,1
-1,63,-1
-1,38,1
-1,56,1
-1,73,1
-1,34,2
-6,56,-6
2,38,5
-1,61,2
2,75,2
-1,42,1
-1,59,2
-1,61,-1
1,38,2
1,34,2
-1,36,-1
-1,74,1
-1,64,2
1,22,-1
-1,77,2
-6,-9,-6
1,37,1
-1,36,2
1,51,2
-1,27,1
-1,37,1
-1,49,-1
-1,28,-1
-1,40,1
-1,46,-1
2,21,-1
2,63,2
-1,68,1
-1,27,2
-6,80,-6
-1,77,1
-1,64,1
-1,29,2
-1,29,-1
-6,60,-6
-1,22,1
-1,39,2
-1,67,1
3,53,1
-1,63,-1
-1,50,-1
-1,49,1
2,57,2
3,70,-1
2,28,2
-1,47,1
-1,28,-1
-1,55,1
-1,62,2
-1,62,2
-1,47,1
1,80,-1
2,80,1
-6,57,-6
-1,56,2
-1,77,-1
-1,18,-1
-1,65,2
-1,30,2
-1,66,2
-1,45,2
-1,26,2
-1,28,-1
-1,36,1
3,36,2
-6,76,-6
-1,59,2
2,-9,2
-7,57,-7
-1,35,1
-1,42,2
-1,35,2
-1,41,1
-1,37,3
2,53,2
-1,26,-1
1,45,-1
-5,32,-1
3,37,2
2,38,-1
-1,50,-1
2,36,2
2,53,-1
1,-9,2
2,25,1
-1,42,2
-1,25,2
-1,61,1
-1,27,1
-1,41,-1
-1,56,1
-1,31,1
1,26,2
-1,61,1
2,44,1
-1,77,12
-1,27,-1
-1,77,1
1,-9,1
-7,31,-7
-1,47,1
-1,27,1
-1,69,1
1,66,2
-1,-9,2
-6,65,-6
-6,18,-6
-1,64,1
-1,22,1
-1,42,1
2,54,2
2,52,2
-1,80,2
-1,28,1
2,63,2
-1,34,1
-1,72,2
-1,63,1
-1,35,1
-1,-9,1
-7,69,-7
-1,57,1
-1,28,-1
-1,67,2
1,66,2
-1,41,2
-1,65,2
-1,36,1
2,72,2
-1,60,-1
-1,25,-1
-1,51,1
-1,42,-1
2,55,1
-1,39,1
-1,32,-1
-6,30,-6
-1,42,1
-1,40,1
-1,59,1
2,-9,1
-1,80,2
2,57,1
-1,80,2
-1,36,1
-1,27,1
2,32,-1
-1,67,1
-1,52,2
-1,69,1
-1,57,-9
1,18,-1
-1,52,1
-1,39,1
-1,62,1
-6,-9,-6
-1,60,2
-1,35,-1
2,27,-1
-1,27,-1
-1,34,1
3,68,1
-1,32,1
-1,35,1
-6,62,-6
1,80,-1
-1,-9,5
-1,60,1
-1,34,1
-1,55,2
2,51,1
-1,39,2
-1,64,2
1,63,1
-1,46,1
3,72,1
2,80,2
1,66,-1
2,60,1
-1,21,-1
-1,35,1
2,22,2
-6,39,-6
-1,25,1
-1,-9,1
-1,32,3
-1,48,1
-1,-9,1
-1,30,1
-1,52,1
1,60,2
-1,39,1
-1,49,-1
-6,48,-6
-1,68,1
-1,51,1
1,78,2
-1,58,1
-6,80,-6
1,45,5
-1,63,-1
-1,38,1
-1,80,2
-1,71,2
-1,54,2
1,69,2
-1,22,2
2,58,1
2,34,2
-1,48,1
-1,80,2
-1,51,1
1,71,2
2,61,2
-1,-9,-1
2,78,1
-1,57,1
-1,44,-1
-1,-9,2
-1,63,1
1,47,1
-1,26,4
-1,57,-1
1,56,-1
-1,53,1
-1,48,2
-1,50,1
-1,34,2
2,73,2
2,57,2
1,41,2
-1,59,2
-6,67,-6
-6,54,-6
-1,72,2
-1,33,-1
2,54,2
-1,22,-1
-1,44,1
-1,30,1
-6,74,-6
-1,37,1
-1,28,-1
-1,18,1
-6,56,-6
-1,39,1
1,71,2
-1,23,-1
2,47,2
1,45,2
-1,28,-1
-1,38,2
-1,70,2
1,-9,-1
-6,39,-6
-1,34,1
1,43,-1
-6,46,-6
-6,69,-6
2,80,2
-1,54,2
-1,64,2
-1,70,-1
2,-9,2
-5,-9,1
-1,46,1
-1,73,-1
1,42,2
-1,43,1
-1,64,1
2,59,-1
1,34,2
-6,50,-6
-6,57,-6
-1,38,1
-6,76,-6
-1,51,2
-1,30,-1
-1,48,2
-1,47,1
1,62,2
-1,80,2
1,35,8
-1,72,2
-1,58,-1
-1,40,1
2,72,1
-6,35,-6
2,37,1
-1,70,2
-6,52,-6
-1,64,1
-1,76,1
-1,21,1
-1,22,-1
1,49,2
-1,36,2
-1,71,2
-1,40,1
-1,80,-1
-1,67,1
-1,73,2
2,21,2
-1,59,1
-6,25,-6
-6,32,-6
-1,68,1
-1,60,1
-1,63,-1
-1,44,2
-1,41,1
2,52,2
-1,44,-1
1,60,-1
2,36,-1
1,47,1
-1,80,2
1,43,2
1,66,2
-1,68,1
-7,80,-7
-1,48,2
-1,59,2
-1,19,1
-1,55,1
-1,25,1
-1,25,1
-6,26,-6
-1,24,1
2,70,2
2,60,2
-1,64,1
-1,64,1
-1,73,1
-1,79,1
1,80,2
-1,73,1
2,38,2
-1,70,1
-1,43,2
1,65,2
-1,56,1
-1,50,-1
-1,74,2
-1,47,1
-1,61,1
-1,72,1
-1,-9,2
3,27,-1
-1,53,1
-1,50,-1
-1,60,2
-1,35,-1
-5,38,3
-1,35,-1
-1,46,-1
-1,59,1
-1,60,1
-1,52,1
-1,30,2
-1,38,-1
-1,54,-1
-1,46,-1
-1,29,1
-1,37,1
-1,36,1
1,-9,-1
1,62,2
-1,77,1
1,72,2
-6,50,-6
-1,33,1
-6,20,-6
-1,60,1
-1,40,-1
-1,53,1
-1,44,2
-1,74,1
-1,77,1
-1,32,-1
-1,35,1
-1,58,2
2,76,1
-6,44,-6
-6,59,-6
-6,-9,-6
-1,64,1
-1,40,2
-1,60,1
-1,18,1
3,51,2
2,73,2
-1,57,2
-6,80,-6
-1,20,-1
-1,50,1
-1,59,2
-6,46,-6
1,39,2
-1,58,1
-1,23,1
1,66,2
-1,67,2
-1,51,2
1,-9,2
-1,26,1
-1,26,-1
1,67,2
3,30,-1
-6,19,-6
-1,70,1
-1,-9,-1
-1,63,1
-1,70,1
-6,-9,-6
-1,56,2
-1,28,2
-1,47,1
-1,48,1
1,65,2
-1,72,-1
-1,41,1
-1,35,2
-1,68,1
-6,42,-6
-6,74,-6
-6,58,-6
1,50,2
1,62,2
1,-9,2
-1,27,-1
-1,58,1
-1,66,1
-1,36,5
-1,58,-1
-1,70,1
-1,33,2
-1,59,2
3,51,1
1,61,2
-1,19,-1
-1,23,1
2,68,1
1,70,2
3,43,2
-1,48,1
-1,49,1
-1,59,-1
-1,42,-1
-1,48,-1
-7,66,-7
1,78,2
1,51,1
-1,44,-1
-1,48,1
-1,79,2
-1,42,1
-6,45,-6
1,30,1
-1,28,1
-1,33,1
-1,46,2
-1,44,1
2,73,2
-1,73,-1
2,71,1
-1,39,2
1,59,2
-1,19,3
1,64,-1
2,-9,2
-1,24,-1
-1,42,1
-1,80,1
-6,36,-6
-1,65,2
-1,26,-1
-1,18,1
-1,73,1
-1,19,1
-1,79,1
-1,50,11
-1,37,1
-1,80,1
-6,68,-6
-1,20,2
2,39,2
-1,33,2
-1,62,2
-6,50,-6
-6,77,-6
1,49,-1
1,-9,2
-1,51,-1
-1,46,2
1,38,-1
1,64,2
-1,36,2
2,-9,1
-1,36,1
-1,25,-1
-1,37,1
-1,-9,2
2,65,2
-6,72,-6
-1,23,-1
-1,39,1
1,74,2
-7,49,-7
1,80,-9
3,56,1
-1,41,1
-1,61,1
-6,33,-6
-1,-9,1
-1,65,1
-1,79,1
-1,54,1
3,75,1
-1,43,-1
-6,66,-6
1,60,1
-1,34,1
-7,74,-7
-1,60,1
-1,66,-1
2,55,1
-1,54,1
2,42,1
-1,78,-1
-1,65,1
-1,63,2
-1,51,1
-6,33,-6
-1,23,1
-1,27,-1
-6,68,-6
-6,42,-6
-1,71,2
2,80,2
-1,27,-1
-1,57,1
-1,42,-1
1,67,1
-1,68,1
-1,26,2
-1,61,2
1,72,1
2,76,1
-1,53,-1
-1,55,1
1,24,-1
-1,61,1
-6,65,-6
-1,36,1
-6,80,-6
-1,63,1
2,-9,2
2,64,1
-6,69,-6
-1,44,2
-1,32,1
-1,70,-1
-1,64,2
-1,58,1
-1,23,-1
-1,72,1
-6,67,-6
-1,77,1
-6,21,-6
1,65,1
1,32,-1
2,50,2
-1,31,-1
-1,80,1
-1,41,1
-6,28,-6
-1,47,2
1,79,2
-1,70,1
-1,30,1
-1,31,-1
-1,77,1
-6,20,-6
-1,19,1
-1,27,-1
-1,40,-9
-1,28,2
1,79,-1
-1,43,1
3,39,-1
-1,61,2
-1,50,2
-1,64,2
1,74,2
-1,31,5
2,33,1
2,31,-1
1,70,-1
-1,47,2
1,58,-9
-1,22,-1
-1,54,2
-1,75,1
-1,63,1
-1,71,-1
-6,44,-6
-1,80,1
-6,48,-6
-1,72,1
2,31,1
-1,61,1
-1,61,2
-6,44,-6
-1,51,1
-1,43,-1
-1,75,1
1,59,1
-1,43,1
2,78,1
1,62,2
-1,55,1
-1,26,1
-1,72,2
-6,60,-6
1,80,2
-1,19,-1
-6,20,-6
-1,65,2
-1,69,1
-6,45,-6
-6,23,-6
-1,63,-1
-1,27,1
1,71,2
-1,73,1
-1,57,1
-6,56,-6
-1,64,-1
3,29,3
-1,48,1
-1,54,2
-6,21,-6
-1,53,2
3,41,2
-1,27,1
1,80,2
1,78,2
-6,29,-6
-1,74,-1
1,45,1
-1,54,2
2,59,1
-1,65,1
-1,49,1
-1,69,1
-1,36,-1
-6,36,-6
2,66,2
-6,59,-6
-1,33,1
-1,72,-1
-1,68,1
1,67,1
-1,51,1
-1,67,2
-1,50,1
-1,67,1
-6,68,-6
-1,67,1
2,27,-1
-1,67,1
-1,19,1
1,63,-1
-1,60,-1
-1,39,2
-1,38,2
-1,36,-1
-1,46,-1
3,36,2
1,57,2
-1,32,2
-1,61,1
1,70,2
2,65,2
2,71,2
3,65,-1
-1,65,-1
2,75,2
-1,39,-1
-6,27,-6
-1,64,-1
-6,65,-6
1,56,-1
-1,50,1
-6,75,-6
-1,66,-1
-6,27,-6
-1,41,1
-1,60,1
1,58,2
-1,74,-1
-1,65,2
-1,63,2
1,27,2
-1,48,1
1,38,3
2,63,2
-1,41,1
1,32,2
1,63,1
-1,61,2
-1,44,1
-6,31,-6
-1,27,-1
-1,28,1
-6,79,-6
3,38,2
-1,59,1
1,59,2
-6,36,-6
-6,53,-6
1,70,2
1,50,2
-1,30,1
2,66,2
1,65,1
1,31,-1
1,80,1
-1,33,1
-1,76,-1
-6,69,-6
-1,48,1
-6,33,-6
1,57,1
-6,36,-6
-1,77,1
-1,69,1
-1,79,2
-6,37,-6
-1,59,1
-1,80,-1
-1,32,2
-6,47,-6
-1,60,2
-1,23,2
-6,51,-6
2,42,-1
-6,25,-6
-1,55,5
-1,72,1
-1,58,4
-6,31,-6
-1,78,2
2,56,2
-1,71,1
-1,65,1
-1,69,1
-1,50,1
-1,80,2
-1,36,-1
-1,44,2
-1,53,1
-6,45,-6
-6,25,-6
-1,52,-1
-1,34,1
-1,78,1
-7,45,-7
-1,-9,-1
2,23,-1
-1,51,1
1,80,-1
1,72,-1
-1,41,1
-6,24,-6
2,30,-1
-1,55,1
-1,49,1
1,74,2
-6,48,-6
-1,64,1
-6,80,-6
-1,27,-1
-1,-9,2
-1,28,3
-1,50,-1
1,49,2
-1,65,1
-1,49,1
-1,40,2
-1,21,1
1,69,-1
-1,68,1
-1,23,2
-6,32,-6
-1,59,1
-1,51,1
-1,52,1
-1,22,-1
2,80,2
1,47,1
-1,67,1
2,29,1
1,62,2
-1,65,1
2,47,2
-1,20,-1
-6,30,-6
-1,72,1
-1,57,2
-6,48,-6
-1,70,1
-1,61,1
-1,77,1
-1,80,1
-1,80,2
-1,33,3
-1,18,1
-1,32,1
-6,25,-6
1,68,1
3,54,-1
-1,58,-1
2,35,2
-1,27,1
-1,67,-1
1,65,2
2,80,2
2,66,2
-1,46,-1
-1,72,1
2,80,-1
-1,63,1
-1,47,2
-1,72,1
-1,61,2
-1,61,1
-1,26,-1
-1,48,1
-1,74,2
-6,79,-6
-1,23,2
-1,79,2
1,70,2
-6,30,-6
-1,54,1
1,68,1
-1,47,1
-1,50,2
-6,18,-6
-1,63,2
-1,74,1
-1,29,1
-1,80,1
-1,60,-1
-1,28,1
-1,52,2
-1,37,1
2,25,2
1,40,2
-6,27,-6
-6,49,-6
-1,33,2
-1,51,2
-1,80,1
-1,28,1
-6,33,-6
-6,28,-6
-1,64,1
-1,62,1
-1,26,-1
-1,45,1
-7,79,-7
-1,72,1
-6,64,-6
-1,58,1
1,50,2
2,54,2
-1,33,-1
1,60,2
-1,60,1
-1,32,1
-1,59,-1
-1,64,2
3,23,-1
-1,21,1
-1,72,1
-1,74,1
-6,34,-6
-1,62,2
-1,56,2
-1,19,2
-1,64,1
-6,61,-6
-1,72,2
-6,37,-6
1,37,-1
2,66,-1
-1,35,1
-1,46,1
-1,73,1
-1,28,-1
-1,62,1
3,61,2
-1,31,2
-1,50,-1
-1,45,1
-1,67,1
-1,51,2
-1,71,1
-6,67,-6
-6,-9,-6
2,64,2
2,73,1
3,30,1
-1,73,2
-1,35,8
1,80,1
